,World Rank,University Name,City,Country,Overall Score,Academic Reputation,Employer Reputation,Citations per Faculty,Faculty Students Ratio,International Students Ratio,International Faculty Ratio,International Research Network,Employment Outcomes,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
1271,1201-1400,Rutgers University–Camden,Camden,United States,0.0,3.8,4.2,3.9,16.4,3.2,16.6,7.5,4.1,5893,83.0,17.0,189,66.0,34.0,436,90.0,10.0
1272,1201-1400,SRM Institute of Science and Technology,Chennai,India,0.0,4.9,8.0,3.2,11.7,2.2,1.7,45.8,1.7,50872,88.0,12.0,1005,79.0,21.0,3344,99.0,1.0
1273,1201-1400,Saken Seifullin Kazakh Agrotechnical University,Nur-Sultan,Kazakhstan,0.0,6.5,4.7,1.2,17.5,1.6,3.7,5.4,14.9,8405,96.0,4.0,130,95.0,5.0,898,98.0,2.0
1274,1201-1400,San Francisco State University,San Francisco,United States,0.0,4.0,2.5,5.8,5.1,8.2,4.0,31.7,12.1,23564,89.0,11.0,1662,85.0,15.0,1125,97.0,3.0
1275,1201-1400,Shanghai Normal University,Shanghai,China,0.0,3.5,1.4,3.0,14.0,0.0,0.0,17.9,2.5,0,76.0,24.0,1249,90.0,10.0,0,,100.0
1276,1201-1400,Shanghai University of Finance and Economics,Shanghai,China,0.0,4.0,4.0,3.0,10.2,2.5,14.3,18.0,29.2,17634,53.0,47.0,412,68.0,32.0,1104,90.0,10.0
1277,1201-1400,Shibaura Institute of Technology,Koto City,Japan,0.0,3.1,2.6,7.0,2.6,9.1,22.0,17.2,4.1,9399,88.0,12.0,715,70.0,30.0,322,87.0,13.0
1278,1201-1400,Slovak University of Agriculture in Nitra,Nitra,Slovakia,0.0,4.6,4.1,4.4,18.2,3.0,9.7,24.1,32.5,5610,57.0,43.0,165,53.0,47.0,430,93.0,7.0
1279,1201-1400,Soochow University (Taiwan),Taipei City,Taiwan,0.0,4.3,7.2,1.9,4.8,4.5,4.6,3.4,5.6,15458,83.0,17.0,681,81.0,19.0,720,97.0,3.0
1280,1201-1400,Soongsil University,Seoul,South Korea,0.0,3.3,7.0,5.3,9.5,15.6,7.2,10.6,3.7,15554,89.0,11.0,1644,80.0,20.0,950,95.0,5.0
1281,1201-1400,Southwest University,Chongqing,China,0.0,3.1,1.6,12.6,13.7,1.8,1.4,47.1,12.6,0,88.0,12.0,542,,,0,,13.0
1282,1201-1400,Stefan cel Mare University of Suceava,Suceava,Romania,0.0,3.3,2.2,3.8,6.1,37.1,2.2,16.6,13.9,7546,71.0,29.0,1291,73.0,28.0,386,99.0,1.0
1283,1201-1400,Suez Canal University,Ismailia,Egypt,0.0,3.2,2.7,2.2,20.6,1.6,1.8,43.7,5.2,43673,88.0,12.0,474,42.0,58.0,3492,99.0,1.0
1284,1201-1400,Suranaree University of Technology,Nakhon Ratchasima,Thailand,0.0,5.7,3.0,9.0,3.3,2.1,6.9,25.9,6.9,14614,92.0,8.0,277,33.0,67.0,594,95.0,5.0
1285,1201-1400,Tamkang University,New Taipei City,Taiwan,0.0,5.0,5.6,6.3,3.7,9.0,7.7,17.5,24.5,21167,92.0,8.0,1593,88.0,12.0,957,95.0,5.0
1286,1201-1400,Tanta University,Tanta,Egypt,0.0,5.0,2.3,2.1,4.0,3.2,1.6,62.1,7.3,137647,88.0,12.0,4408,32.0,68.0,5814,99.0,1.0
1287,1201-1400,Technical University of Cluj-Napoca,Cluj-Napoca,Romania,0.0,4.5,5.0,3.5,7.0,2.6,1.4,31.0,1.4,19199,74.0,26.0,471,78.0,22.0,1044,100.0,0.0
1288,1201-1400,"The ""Gheorghe Asachi"" Technical University of Iasi",Iași,Romania,0.0,5.3,6.0,5.7,2.6,5.7,0.0,23.4,9.6,12647,77.0,23.0,893,100.0,0.0,564,,
1289,1201-1400,The Hashemite University,Zarqa,Jordan,0.0,6.2,9.9,3.4,3.8,7.9,13.1,26.0,15.1,17979,96.0,4.0,1236,97.0,3.0,673,92.0,8.0
1290,1201-1400,"The University of Notre Dame, Australia",Chippendale,Australia,0.0,3.0,5.5,7.4,2.9,1.5,3.2,18.8,6.5,11710,86.0,14.0,185,72.0,28.0,424,,0.0
1291,1201-1400,The University of Texas at Arlington,Arlington,United States,0.0,5.7,5.9,11.8,4.7,15.6,3.8,50.4,5.4,31675,78.0,22.0,3354,40.0,60.0,1467,97.0,3.0
1292,1201-1400,S. Toraighyrov Pavlodar State University,Pavlodar,Kazakhstan,0.0,5.1,3.7,1.3,16.0,3.1,3.3,1.8,20.0,7716,87.0,13.0,16,0.0,100.0,566,98.0,2.0
1293,1201-1400,Transilvania University of Brasov,Brasov,Romania,0.0,4.5,3.2,3.1,6.6,2.2,2.6,38.2,9.3,17844,75.0,25.0,348,66.0,34.0,948,98.0,2.0
1294,1201-1400,Tunghai University,Taichung City,Taiwan,0.0,5.4,7.2,3.9,5.7,15.1,11.3,15.4,9.0,15201,86.0,14.0,1577,83.0,17.0,763,93.0,7.0
1295,1201-1400,Universidad Autonoma de Yucatan,Mérida,Mexico,0.0,4.7,1.6,2.4,5.5,1.1,2.5,12.1,4.9,16293,90.0,10.0,45,33.0,67.0,807,98.0,2.0
1296,1201-1400,Universidad Autónoma de Baja California,Baja California,Mexico,0.0,7.6,5.3,1.5,4.7,3.1,3.1,15.3,3.1,67944,97.0,3.0,2069,95.0,5.0,3132,98.0,2.0
1297,1201-1400,Universidad Autónoma de Chile,Providencia,Chile,0.0,5.2,2.6,2.6,6.3,1.3,6.4,32.7,4.7,30187,98.0,2.0,183,90.0,10.0,1383,95.0,5.0
1298,1201-1400,Universidad Autónoma de Querétaro (UAQ),Querétaro,Mexico,0.0,4.4,3.4,2.6,6.7,1.7,6.5,7.6,4.4,25399,90.0,10.0,305,79.0,21.0,1056,95.0,5.0
1299,1201-1400,Universidad Autónoma de San Luis de Potosí,San Luis Potosí,Mexico,0.0,6.2,2.2,2.5,6.1,1.4,1.8,18.6,4.3,31649,94.0,6.0,255,65.0,35.0,1630,99.0,1.0
1300,1201-1400,Universidad Autónoma del Estado de Morelos (UAEM),Cuernavaca,Mexico,0.0,3.6,2.2,1.6,11.4,1.0,4.0,24.4,4.3,30856,96.0,4.0,31,35.0,65.0,2630,97.0,3.0
1301,1201-1400,Universidad Bernardo O'Higgins,Santiago,Chile,0.0,3.8,1.4,2.0,9.7,2.0,10.1,8.9,6.9,7763,94.0,6.0,133,93.0,7.0,478,93.0,7.0
1302,1201-1400,Universidad Católica de Colombia,Bogotá,Colombia,0.0,5.5,8.0,1.5,4.8,1.2,5.8,0.0,5.8,10129,80.0,20.0,41,80.0,20.0,455,96.0,4.0
1303,1201-1400,Universidad Católica de la Santísima Concepción (UCSC),Concepción,Chile,0.0,3.5,2.4,2.5,9.4,1.2,6.4,21.2,4.8,9772,95.0,5.0,33,33.0,67.0,594,95.0,5.0
1304,1201-1400,Universidad Católica del Norte,Antofagasta,Chile,0.0,5.0,4.1,5.8,6.7,3.1,15.1,33.7,4.5,11601,94.0,6.0,360,73.0,27.0,674,91.0,9.0
1305,1201-1400,Universidad Central de Chile,Santiago,Chile,0.0,4.7,4.9,1.7,3.9,1.5,2.2,11.2,4.2,14063,92.0,8.0,137,85.0,15.0,599,99.0,1.0
1306,1201-1400,Universidad Central del Ecuador,Quito,Ecuador,0.0,9.3,8.8,1.2,11.4,0.0,0.0,10.3,24.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
